time_step,temperature,humidity,pressure
0.0,20.25,70.32,1011.87
0.2,20.94,69.48,1013.27
0.41,22.31,68.79,
0.61,23.64,69.44,
0.82,,68.97,1015.19
1.02,24.14,67.78,1016.18
1.22,25.49,64.73,1017.88
1.43,25.33,63.84,1017.02
1.63,24.76,,
1.84,,61.99,1017.78
2.04,24.23,58.9,1016.75
2.24,23.67,,1018.71
2.45,23.31,,1019.2
2.65,21.39,53.56,1021.52
2.86,,54.26,1019.78
3.06,20.12,,1020.55
3.27,18.88,51.3,1020.64
3.47,18.55,51.67,1020.07
3.67,,50.57,1022.24
3.88,15.94,49.36,1022.23
4.08,16.69,50.44,
4.29,,51.95,1021.46
4.49,15.16,50.96,1023.56
4.69,14.29,53.39,1021.55
4.9,14.81,50.25,1023.37
5.1,,,1024.85
5.31,15.28,55.58,1022.49
5.51,,56.71,1023.01
5.71,17.01,58.69,
5.92,18.07,58.24,1023.35
6.12,,61.63,1022.63
6.33,21.14,63.78,1024.03
6.53,21.22,66.38,
6.73,,,
6.94,23.46,66.63,1023.45
7.14,23.18,67.92,1025.46
7.35,24.48,70.1,1023.62
7.55,23.79,70.04,1023.99
7.76,,69.44,
7.96,25.07,70.48,1023.22
8.16,25.13,,1024.34
8.37,24.44,70.14,1025.15
8.57,23.71,,1022.73
8.78,22.87,67.08,
8.98,21.41,,1024.02
9.18,20.83,,
9.39,19.95,63.67,1022.55
9.59,19.7,62.06,1022.32
9.8,18.36,60.18,1023.61
10.0,16.4,58.31,1023.24
